title,author,category,pub_date,link,description
رفض طلب تسليم عبد السلام بوشوارب: الجزائر تبرز الغياب التام لتعاون الحكومة الفرنسية,ameur.log@aps.dz (alaunesecondaire),الجـزائـر,"Thu, 20 Mar 2025 21:13:30 +0100",https://www.aps.dz/ar/algerie/177432-2025-03-20-20-15-08,"الجزائر - أخذت الحكومة الجزائرية علما بقرار القضاء الفرنسي رفض طلب تسليم عبد السلام بوشوارب الذي أدانه القضاء الجزائري في عدد من قضايا الفساد والاختلاس واستغلال النفوذ التي كبدت الخزينة العمومية الجزائرية خسائر معتبرة, حسب ما أفاد اليوم بيان لوزارة الشؤون الخارجية والجالية الوطنية في الخارج والشؤون الافريقية, الذي أبرز ""الغياب التام لتعاون الحكومة الفرنسية مع الطرف الجزائري""."
السيد قوجيل: الجزائر المنتصرة تسير في الطريق الصحيح,ameur.log@aps.dz (alaunesecondaire),الجـزائـر,"Thu, 20 Mar 2025 18:24:15 +0100",https://www.aps.dz/ar/algerie/177431-2025-03-20-17-26-42,"الجزائر- أكد رئيس مجلس الأمة, السيد صالح قوجيل, اليوم الخميس بالجزائر العاصمة, أن الجزائر المنتصرة بقيادة رئيس الجمهورية, السيد عبد المجيد تبون, تسير على الدرب الصحيح, بحرصها على تعزيز استقلالها السياسي بآخر اقتصادي وهو ما يشكل حصنا منيعا لها."
رئيس الجمهورية يهنئ نظيره التونسي بمناسبة الذكرى ال69 لعيد استقلال بلاده,ameur.log@aps.dz (alaune),الجـزائـر,"Thu, 20 Mar 2025 16:38:13 +0100",https://www.aps.dz/ar/algerie/177422-69,"الجزائر - هنأ رئيس الجمهورية, السيد عبد المجيد تبون, اليوم الخميس, في مكالمة هاتفية, أخاه رئيس الجمهورية التونسية الشقيقة, السيد قيس سعيد, بمناسبة احتفال الشعب التونسي الشقيق بالذكرى التاسعة والستين لعيد الاستقلال, حسب ما أفاد به بيان لرئاسة الجمهورية."
حزب جبهة التحرير الوطني يثمن نتائجه المحققة في انتخابات التجديد النصفي لأعضاء مجلس الأمة,ameur.log@aps.dz (Boussadia fouzia),الجـزائـر,"Thu, 20 Mar 2025 16:22:08 +0100",https://www.aps.dz/ar/algerie/177420-2025-03-20-15-22-51,"الجزائر - ثمن الأمين العام لحزب جبهة التحرير الوطني, عبد الكريم بن مبارك, اليوم الخميس بالجزائر العاصمة, النتائج التي حققها الحزب في انتخابات التجديد النصفي للأعضاء المنتخبين لمجلس الأمة التي جرت في التاسع مارس الجاري, واصفا إياها ب""الإيجابية""."
المرصد الوطني للمجتمع المدني : رئيس الجمهورية ينهي مهام السيد بن براهم ويعين السيدة حملاوي خلفا له,ameur.log@aps.dz (alaunesecondaire),الجـزائـر,"Thu, 20 Mar 2025 16:16:03 +0100",https://www.aps.dz/ar/algerie/177418-2025-03-20-15-17-34,"الجزائر - أنهى رئيس الجمهورية, السيد عبد المجيد تبون, اليوم الخميس, مهام رئيس المرصد الوطني للمجتمع المدني, السيد نور الدين بن براهم, وعين السيدة ابتسام حملاوي خلفا له, حسب ما أفاد به بيان لرئاسة الجمهورية."
السيد عطاف يتلقى مكالمة هاتفية من نظيره الأردني,ameur.log@aps.dz (Boussadia fouzia),الجـزائـر,"Thu, 20 Mar 2025 15:45:44 +0100",https://www.aps.dz/ar/algerie/177412-2025-03-20-14-47-57,"الجزائر - تلقى وزير الدولة, وزير الشؤون الخارجية والجالية الوطنية بالخارج والشؤون الإفريقية, أحمد عطاف, اليوم الخميس, مكالمة هاتفية من نائب رئيس الوزراء ووزير الخارجية وشؤون المغتربين للمملكة الأردنية الهاشمية الشقيقة,  أيمن الصفدي, حسب ما أفاد به بيان للوزارة."
الموافقة على تعيين سفير الجزائر الجديد لدى اليابان,ameur.log@aps.dz (Boussadia fouzia),الجـزائـر,"Thu, 20 Mar 2025 15:19:03 +0100",https://www.aps.dz/ar/algerie/177411-2025-03-20-14-20-29,"الجزائر - وافقت الحكومة اليابانية على تعيين السيد توفيق ميلاط, سفيرا فوق العادة و مفوضا للجمهورية الجزائرية الديمقراطية الشعبية لدى اليابان, حسب ما أفاد به بيان لوزارة الشؤون الخارجية والجالية الوطنية بالخارج والشؤون الإفريقية, اليوم الخميس."
المديرية العامة للاتصال برئاسة الجمهورية تعزي في وفاة الصحفية بالإذاعة الوطنية فاطمة ولد خصال,ameur.log@aps.dz (Boussadia fouzia),الجـزائـر,"Thu, 20 Mar 2025 14:48:09 +0100",https://www.aps.dz/ar/algerie/177409-2025-03-20-13-51-30,"الجزائر - تقدمت المديرية العامة للاتصال برئاسة الجمهورية, اليوم الخميس, بأصدق تعازيها في وفاة الصحفية بالإذاعة الوطنية, فاطمة ولد خصال, التي وافتها المنية بعد صراع مع المرض."
وزير الاتصال يعزي في وفاة الصحفية بالإذاعة الوطنية فاطمة ولد خصال,ameur.log@aps.dz (Dib Nassima),الجـزائـر,"Thu, 20 Mar 2025 12:33:15 +0100",https://www.aps.dz/ar/algerie/177400-2025-03-20-11-33-56,الجزائر - عبر وزير الاتصال، السيد محمد مزيان، عن تعازيه الخالصة لعائلة الصحفية بالإذاعة الوطنية، فاطمة ولد خصال، التي وافتها المنية يوم الخميس بعد صراع مع المرض.
وفاة الصحفية السابقة بالإذاعة الوطنية فاطمة ولد خصال,ameur.log@aps.dz (Salah Harireche),الجـزائـر,"Thu, 20 Mar 2025 10:30:29 +0100",https://www.aps.dz/ar/algerie/177392-2025-03-20-09-33-51,"الجزائر - توفيت, يوم الخميس بالجزائر العاصمة, المذيعة المتقاعدة بالإذاعة الوطنية, فاطمة ولد خصال, عن عمر ناهز 69 سنة بعد صراع مع المرض, حسب ما علم من الإذاعة الوطنية."
الخطوط الجوية الجزائرية توقع على مذكرة تفاهم إستراتيجية مع شركة جازي للاتصالات,ameur.log@aps.dz (Boussadia fouzia),اقتصــاد,"Thu, 20 Mar 2025 17:15:01 +0100",https://www.aps.dz/ar/economie/177426-2025-03-20-16-16-06,"الجزائر - وقعت شركة الخطوط الجوية الجزائرية, اليوم الخميس بالجزائر العاصمة, على مذكرة تفاهم إستراتيجية مع شركة جازي للاتصالات تهدف إلى تطوير شراكة مثمرة في مجالات متعددة ذات الاهتمام المشترك و ذلك في إطار تعزيز التعاون بين المؤسسات الوطنية, حسبما افاد به بيان للشركة."
